DATE,WILL5000INDFC_PCH,NGDPNSAXDCUSQ_PCH,PPIACO_PCH,FEDFUNDS_PCH,M2SL_PCH,U4RATE_PCH,CIVPART_PCH,BOGZ1FL010000336Q_PCH,GFDEGDQ188S_CH1,CORESTICKM159SFRBATL_PCH,M2V_PCH,CPALTT01USM657N_PCH
10/1/2017,6.04798,2.64264,0.85896,4.33526,1.01828,-2.89855,-0.4235,-0.32713,-2.31255,1.4192,0.69881,-115.73209
1/1/2018,5.38148,-2.5181,1.60109,20.22161,0.78281,-3.73134,0.26582,-1.03638,0.98832,3.63849,0.48577,-1124.09472
4/1/2018,-0.0891,4.30154,1.87762,20.04608,0.92786,-3.10078,0.10604,-0.70695,0.74359,13.862,0.62155,-20.54694
7/1/2018,6.01169,1.01706,0.5924,10.74856,0.93451,-2.4,-0.21186,0.02612,0.51473,-2.33399,0.13727,-81.65037
10/1/2018,-5.86999,1.88742,-0.55619,15.42461,0.67853,0,0.21231,0.13718,2.54111,-0.78621,0,-367.58911
1/1/2019,1.77708,-3.13076,-1.44761,8.25826,1.37266,0.81967,0.21186,-0.96896,0.1946,-2.64115,-0.47978,-346.51712
4/1/2019,6.0735,4.52793,0.83459,-0.27739,1.22576,-4.87805,-0.21142,-0.12175,-0.0115,0.90819,0,-35.26198
7/1/2019,2.49752,0.85314,-0.96011,-8.62309,1.86929,-1.7094,0.3178,-0.21471,1.50915,6.50282,-0.61983,-68.46712
10/1/2019,4.08605,2.09887,-0.28414,-24.96195,2.10083,-1.73913,0.26399,0.21927,1.33972,7.15952,-1.2474,-65.04679
1/1/2020,-0.80621,-4.66161,-1.25712,-23.32657,2.45341,7.07965,-0.36862,1.18229,2.99765,0.11473,-3.15789,428.92805
4/1/2020,-3.84972,-6.1657,-4.04006,-95.2381,13.14554,231.40496,-3.59408,9.73714,31.30567,-22.87258,-19.42029,-126.89942
7/1/2020,14.903,8.50343,3.0957,55.55556,4.20759,-31.42145,1.20614,-6.60349,20.61912,5.44098,4.40647,-903.43438
10/1/2020,9.42107,3.5506,2.14482,-3.57143,2.86689,-22.18182,0.05417,0.08043,20.95568,-20.22093,-1.20586,-92.23476
1/1/2021,11.27778,-1.71435,5.89619,-11.11111,3.53005,-8.41121,-0.27071,-1.60699,18.24972,-11.31792,-0.69747,2154.18171
4/1/2021,7.27151,6.25247,6.5514,-12.5,3.84253,-4.08163,0.32573,-1.28233,-11.04686,57.31564,-0.61457,51.84112
7/1/2021,5.30576,1.70033,4.35358,28.57143,2.32424,-14.3617,0.21645,-0.42211,-5.41937,-2.37037,-0.08834,-62.42204
10/1/2021,3.60077,5.4425,3.44493,-11.11111,2.4115,-16.77019,0.26998,-1.18125,-6.20665,33.40004,0.97259,69.8642
1/1/2022,-4.87945,-3.10534,4.69418,50,1.3249,-8.95522,0.59235,-0.53374,-3.19729,32.05305,0.2627,89.63921
4/1/2022,-8.64585,5.69396,7.86232,541.66667,0.27842,-4.91803,-0.05353,-0.11027,-2.71742,17.703,1.74672,-1.80519
7/1/2022,-2.58689,1.3564,-1.11063,184.41558,-0.19305,-1.72414,0,-0.19507,-0.48117,19.03609,2.06009,-94.46886
10/1/2022,-3.06394,3.3524,-2.91497,66.81887,-1.07729,0.87719,0,-0.85405,-1.42869,8.01441,2.77544,-101.40761
