DATE,WILL5000INDFC_PCH,NGDPNSAXDCUSQ_PCH,PPIACO_PCH,FEDFUNDS_PCH,M2SL_PCH,U4RATE_PCH,CIVPART_PCH,BOGZ1FL010000336Q_PCH,GFDEGDQ188S_CH1,CORESTICKM159SFRBATL_PCH,M2V_PCH,CPALTT01USM657N_PCH
1/1/1970,.,-5.44971,1.47738,-4.10142,0.37001,.,0.33186,-2.84691,-0.80698,6.67672,0.90243,-17.90003
4/1/1970,.,5.72209,0.54595,-8.00933,0.67491,.,-0.16538,-0.09966,-0.30074,1.36055,0.83846,18.36547
7/1/1970,.,-0.19104,0.54299,-14.96196,2.25903,.,-0.11044,-0.2467,-0.15229,1.37982,-0.49889,-34.21991
10/1/1970,.,5.50148,0.18002,-16.99801,2.68841,.,0.16584,1.67774,0.27868,2.49578,-2.39554,48.09801
1/1/1971,.,-3.1765,1.34771,-30.71856,3.20815,.,-0.38631,-3.54909,-0.88534,-13.3533,1.0274,-67.04359
4/1/1971,5.24691,6.36784,1.24113,18.40968,3.86215,.,-0.22161,0.95731,-0.3124,-17.06121,-1.9209,197.51365
7/1/1971,-2.05279,-0.05941,0.78809,19.92701,2.97783,.,0.16657,0.70973,0.13977,-5.41713,-1.09447,-67.04959
10/1/1971,0,6.10391,0.08688,-13.26841,2.70704,.,0.27716,2.09446,-0.11585,-18.55977,-1.57251,49.2047
1/1/1972,11.37725,-3.11002,1.73611,-25.33333,3.00951,.,0,-1.93836,0.22277,-3.29618,0.35503,-0.72836
4/1/1972,3.22581,6.58079,1.10922,21.2406,2.50356,.,0.16584,0.82293,-0.68706,-2.7626,0.41274,-0.80335
7/1/1972,1.04167,0.04955,1.51899,10.31008,3.3656,.,0.11038,0.87535,-1.38247,-12.09301,-1.40928,32.29803
10/1/1972,4.89691,7.18065,0.99751,8.50316,3.32105,.,-0.16538,0.31952,-1.88479,-2.21045,-0.35736,-0.94732
1/1/1973,-3.6855,-2.38477,4.85597,27.00777,2.37506,.,0.11044,-1.52944,-1.43335,-11.35864,1.25523,97.60273
4/1/1973,-8.41837,6.15595,4.86656,19.58185,1.64364,.,0.55157,0.5088,-1.32917,7.53449,0.94451,10.27634
7/1/1973,3.89972,-0.00198,4.11677,35.09595,1.40334,.,0.05485,1.66285,-1.49992,10.49945,0.05848,9.18272
10/1/1973,-5.36193,8.04743,0.7908,-5.3346,1.28848,.,0.49342,-0.36707,-1.97379,45.95883,1.63647,-2.54666
1/1/1974,-3.96601,-5.49149,6.70471,-6.73558,1.84531,.,0.38189,-0.35509,-1.52838,26.33149,-0.80506,55.91288
4/1/1974,-9.73451,6.15742,3.47594,20.665,1.20663,.,-0.27174,0.54926,-1.35004,23.78517,1.33333,-27.24703
7/1/1974,-18.30065,0.48292,7.10594,7.46667,1.07035,.,0.27248,0.74741,-1.26186,28.89972,0.91533,29.67928
10/1/1974,0.4,7.08206,3.49819,-22.69093,1.53011,.,-0.1087,-0.62907,-0.97611,9.34217,0.96372,-21.14832
1/1/1975,16.73307,-5.23142,-0.05828,-32.56063,1.90794,.,-0.10881,-1.11137,-0.22845,5.85739,-0.84222,-39.78446
4/1/1975,14.67577,5.76096,1.10787,-14.01375,3.66431,.,0.21786,-0.22459,1.28355,-5.53352,-1.41563,10.71865
7/1/1975,-3.86905,2.18948,2.13379,13.65314,3.64371,.,-0.1087,-0.70259,1.51774,-17.67019,-0.11488,9.29629
10/1/1975,3.71517,7.63436,1.07284,-12.12121,2.4138,.,-0.21763,0.14993,1.93242,-12.00518,0.63255,-11.67208
1/1/1976,14.32836,-3.17421,0.44693,-10.83744,3.17786,.,0.27263,-2.01753,1.44909,-6.04033,0.11429,-56.14449
4/1/1976,1.82768,5.47738,1.55729,7.66575,3.00298,.,0.38064,1.672,1.21647,-7.60244,-1.19863,122.74496
7/1/1976,2.82051,0.25616,1.20482,1.66774,2.65691,.,0.32503,1.26592,1.2629,3.98725,-0.80878,-12.47201
10/1/1976,1.99501,7.24983,0.8658,-7.76025,3.62279,.,0.054,0.85026,1.05743,-8.80598,-1.04834,-25.93608
1/1/1977,-0.7335,-3.66977,2.14592,-4.37756,3.39951,.,0.10793,-0.8262,0.66623,-7.71839,-0.58858,113.59617
4/1/1977,0.49261,6.84943,2.46849,10.65808,2.69306,.,0.6469,1.02434,-0.69042,11.16207,0.71048,-9.65939
7/1/1977,0.4902,2.29782,0.15377,12.86361,2.30256,.,0,1.11495,-0.65542,1.70326,0.70547,-42.66067
10/1/1977,-0.97561,5.90972,1.1259,11.91294,2.07014,.,0.64274,1.78626,-0.5688,3.59636,0.11675,-1.13609
1/1/1978,-2.95567,-4.12005,2.42915,3.73593,1.86706,.,0.21288,0.53367,-0.15016,4.01889,-0.11662,83.03818
4/1/1978,11.67513,9.00596,3.01383,7.79477,1.86654,.,0.58417,-0.81557,-0.67978,2.66155,3.91127,35.29748
7/1/1978,8.63636,2.20536,1.58273,11.21281,1.86288,.,0.15839,1.72021,-0.77384,8.49837,0.8427,-29.57159
10/1/1978,-7.32218,6.9409,2.26629,18.31276,1.86879,.,0.369,0.40577,-1.35667,10.59549,1.50418,-9.4199
1/1/1979,7.90068,-2.96563,3.64728,5.11304,1.46662,.,0.42017,0.38206,-1.96519,3.61163,0.54885,71.11565
4/1/1979,5.43933,4.82248,3.51893,1.0589,2.37117,.,-0.47071,1.44251,-1.06167,6.90143,0.16376,15.28077
7/1/1979,8.73016,1.60105,3.14114,7.53111,2.36583,.,0.36784,1.13502,-1.23005,7.12908,0.59946,-11.0655
