DATE,WILL5000INDFC_PC1,NGDPNSAXDCUSQ_PC1,PPIACO_PC1,FEDFUNDS,M2SL_PC1,U4RATE_PC1,CIVPART_PC1,BOGZ1FL010000336Q_PC1,GFDEGDQ188S_PC1,CORESTICKM159SFRBATL,M2V_PC1,CPALTT01USM657N_PC1
10/1/2017,21.09379,4.97414,4.61511,1.203333333,4.91449,-12.4183,-0.05313,-1.13785,-2.19577,2.144440667,0,-6524.56475
1/1/2018,19.12588,5.9494,3.95608,1.446666667,4.20049,-11.64384,0,-1.53653,0.95355,2.222466,0.97629,25.10481
4/1/2018,15.20437,5.71562,4.88436,1.736666667,3.83764,-10.07194,0.10604,-2.44604,0.72335,2.530544333,2.10231,105.7781
7/1/2018,18.36772,5.42345,5.01632,1.923333333,3.71395,-11.5942,-0.26469,-2.03187,0.49736,2.471481667,1.95667,-76.51101
10/1/2018,5.06522,4.64776,3.54284,2.22,3.36512,-8.95522,0.37214,-1.5755,2.46696,2.452050667,1.24913,299.52734
1/1/2019,1.47164,3.99007,0.43588,2.403333333,3.97009,-4.65116,0.31813,-1.50844,0.18598,2.387288333,0.27624,-3.82694
4/1/2019,7.73051,4.21579,-0.5924,2.396666667,4.27697,-6.4,0,-0.92797,-0.01111,2.408969333,-0.34317,-21.63859
7/1/2019,4.15936,4.04668,-2.12662,2.19,5.2427,-5.7377,0.53079,-1.1665,1.45102,2.565620333,-1.09664,34.65997
10/1/2019,15.1762,4.26262,-1.85886,1.643333333,6.72948,-7.37705,0.58263,-1.08548,1.26931,2.749306333,-2.33036,-117.58965
1/1/2020,12.25282,2.61493,-1.66917,1.26,7.86735,-1.62602,0,1.06323,2.85955,2.752460667,-4.95868,-62.25958
4/1/2020,1.75153,-7.88299,-6.42278,0.06,20.56921,242.73504,-3.38983,11.03909,30.23837,2.122902,-23.41598,-115.68159
7/1/2020,14.06672,-0.89539,-2.59067,0.093333333,23.33675,139.13043,-2.53432,3.92978,19.54134,2.238408667,-19.54262,299.5554
10/1/2020,19.91331,0.51377,-0.2179,0.09,24.26215,89.38053,-2.73828,3.7858,19.60552,1.785781667,-19.50877,-11.2344
1/1/2021,34.52139,3.62102,7.01069,0.08,25.56797,61.98347,-2.64271,0.92476,16.925,1.583668333,-17.46377,278.30058
4/1/2021,50.08081,17.33438,18.82186,0.07,15.24356,-53.11721,1.31579,-9.2098,-8.19286,2.491358,1.79856,-2235.42076
7/1/2021,37.54537,9.97758,20.27162,0.09,13.16075,-41.45455,0.32503,-3.20092,-4.2965,2.432303667,-2.58398,-0.12281
10/1/2021,30.22909,11.9869,21.80245,0.08,12.65979,-37.38318,0.54142,-4.42124,-4.85493,3.244694,-0.43592,2084.80871
1/1/2022,11.32018,10.402,20.41989,0.12,10.26018,-37.7551,1.41151,-3.37869,-2.53599,4.284717333,0.52678,83.80302
4/1/2022,-5.19794,9.82168,21.90144,0.77,6.47581,-38.29787,1.02814,-2.23152,-2.19521,5.043240667,2.91519,18.8644
7/1/2022,-12.30333,9.45029,15.51838,2.19,3.85639,-29.19255,0.80994,-2.0086,-0.3986,6.003276333,5.12821,-82.50422
10/1/2022,-17.94492,7.28074,8.4162,3.653333333,0.31837,-14.1791,0.5385,-1.68413,-1.17457,6.484403333,7.00525,-100.14498
,,,,,,,,,,,,
