DATE,WILL5000INDFC,NGDPNSAXDCUSQ,PPIACO,FEDFUNDS,M2SL,U4RATE,CIVPART,BOGZ1FL010000336Q,GFDEGDQ188S,CORESTICKM159SFRBATL,M2V,CPALTT01USM657N
1/1/2013,64.625,4065318,203.6,0.143333333,10514.16667,8.233333333,63.46666667,83.90308526,100.85592,2.104738867,1.582,0.458728077
4/1/2013,68.96953125,4177428,203.9666667,0.116666667,10628.66667,8.1,63.4,83.61457045,100.23216,1.906615933,1.571,0.104682546
7/1/2013,72.6378125,4249371,204.1666667,0.083333333,10777.4,7.8,63.26666667,83.01968273,98.97766,1.8908401,1.569,0.091997786
10/1/2013,77.26640625,4351081,201.9,0.086666667,10988.76667,7.433333333,62.9,83.01661718,100.13427,1.877670867,1.559,-0.156783965
1/1/2014,80.95557377,4203940,205.5,0.073333333,11155.9,7.066666667,62.96666667,82.85091687,102.6653,1.810619167,1.537,0.461940015
4/1/2014,83.51206349,4360754,208.2,0.093333333,11317.86667,6.666666667,62.83333333,81.9011066,100.97295,2.0989122,1.543,0.288383041
7/1/2014,86.99640625,4454942,207.1333333,0.09,11462.86667,6.533333333,62.86666667,80.61154828,100.45563,2.005786867,1.548,-0.043604644
10/1/2014,88.32671875,4531052,200.4333333,0.1,11618.56667,6.133333333,62.86666667,80.49101355,101.61828,1.993836767,1.537,-0.452726555
1/1/2015,91.50754098,4389973,191.5333333,0.11,11837.13333,5.966666667,62.73333333,79.67460135,100.89325,1.988929,1.52,0.186295805
4/1/2015,93.86793651,4556248,193.0333333,0.123333333,11962.83333,5.833333333,62.8,79.52950322,99.77075,2.081581033,1.521,0.354432509
7/1/2015,90.6296875,4605088,191.6333333,0.136666667,12104.66667,5.5,62.53333333,79.39589868,99.146,2.200372833,1.512,-0.09686619
10/1/2015,91.1134375,4654715,185.5666667,0.16,12275.76667,5.4,62.56666667,79.44072904,103.21895,2.3983863,1.493,-0.199248686
1/1/2016,86.04852459,4496788,182,0.36,12547.76667,5.266666667,62.83333333,79.00468587,104.55696,2.5142698,1.468,0.22607263
4/1/2016,92.53609375,4666051,185.3666667,0.373333333,12765.33333,5.266666667,62.76666667,78.93986514,104.13706,2.5593518,1.458,0.402374171
7/1/2016,97.38234375,4720618,187.0666667,0.396666667,12964.7,5.2,62.86666667,79.23589937,104.25015,2.643586933,1.448,0.056809652
10/1/2016,99.38380952,4811649,187.0666667,0.45,13162.43333,5.1,62.73333333,78.98233865,105.31835,2.543421233,1.441,0.000620301
1/1/2017,106.4622581,4647311,191.2666667,0.7,13356.36667,4.866666667,62.86666667,78.48027111,103.64643,2.596455333,1.434,0.326221438
4/1/2017,109.9880952,4857936,193.1333333,0.95,13527.4,4.633333333,62.86666667,78.65196748,102.79752,2.182203667,1.427,0.157578874
7/1/2017,113.484127,4920944,194.0333333,1.153333333,13670.1,4.6,62.96666667,78.33991541,103.4915,2.114432667,1.431,0.253314518
10/1/2017,120.347619,5050987,195.7,1.203333333,13809.3,4.466666667,62.7,78.08364185,103.0058,2.144440667,1.441,-0.039851657
1/1/2018,126.8240984,4923798,198.8333333,1.446666667,13917.4,4.3,62.86666667,77.27439771,104.63475,2.222466,1.448,0.408118711
4/1/2018,126.7110938,5135597,202.5666667,1.736666667,14046.53333,4.166666667,62.93333333,76.7281087,103.54111,2.530544333,1.457,0.324262806
7/1/2018,134.3285714,5187829,203.7666667,1.923333333,14177.8,4.066666667,62.8,76.74815188,104.00623,2.471481667,1.459,0.059501026
10/1/2018,126.4434921,5285745,202.6333333,2.22,14274,4.066666667,62.93333333,76.85343582,105.54691,2.452050667,1.459,-0.159218263
1/1/2019,128.6904918,5120261,199.7,2.403333333,14469.93333,4.1,63.06666667,76.10875775,104.82935,2.387288333,1.452,0.392500272
4/1/2019,136.5065079,5352103,201.3666667,2.396666667,14647.3,3.9,62.93333333,76.01609707,103.52961,2.408969333,1.452,0.254096913
7/1/2019,139.9157813,5397764,199.4333333,2.19,14921.1,3.833333333,63.13333333,75.85288578,105.51538,2.565620333,1.443,0.080124065
10/1/2019,145.6328125,5511056,198.8666667,1.643333333,15234.56667,3.766666667,63.3,76.01920868,106.88663,2.749306333,1.425,0.028005933
1/1/2020,144.4587097,5254152,196.3666667,1.26,15608.33333,4.033333333,63.06666667,76.91797245,107.827,2.752460667,1.38,0.148131235
4/1/2020,138.8974603,4930197,188.4333333,0.06,17660.13333,13.36666667,60.8,84.40758607,134.83528,2.122902,1.112,-0.039846444
7/1/2020,159.5973438,5349433,194.2666667,0.093333333,18403.2,9.166666667,61.53333333,78.83373934,126.1345,2.238408667,1.161,0.320140032
10/1/2020,174.633125,5539370,198.4333333,0.09,18930.8,7.133333333,61.56666667,78.8971434,127.84231,1.785781667,1.147,0.024859634
1/1/2021,194.3278689,5444406,210.1333333,0.08,19599.06667,6.533333333,61.4,77.62927749,126.07672,1.583668333,1.139,0.560381314
4/1/2021,208.4584375,5784816,223.9,0.07,20352.16667,6.266666667,61.6,76.63381256,123.78842,2.491358,1.132,0.85088924
7/1/2021,219.51875,5883177,233.6476667,0.09,20825.2,5.366666667,61.73333333,76.31033093,120.71513,2.432303667,1.131,0.319746858
10/1/2021,227.423125,6203369,241.6966667,0.08,21327.4,4.466666667,61.9,75.40891286,121.63566,3.244694,1.142,0.543135441
1/1/2022,216.326129,6010733,253.0423333,0.12,21609.96667,4.066666667,62.26666667,75.00642797,122.87943,4.284717333,1.145,1.029997753
4/1/2022,197.6229032,6352982,272.9373333,0.77,21670.13333,3.866666667,62.23333333,74.92371545,121.071,5.043240667,1.165,1.011404359
7/1/2022,192.510625,6439154,269.906,2.19,21628.3,3.8,62.23333333,74.77756059,120.23396,6.003276333,1.189,0.055942203
10/1/2022,186.6122222,6655020,262.0383333,3.653333333,21395.3,3.833333333,62.23333333,74.13892648,120.20697,6.484403333,1.222,-0.000787449
